seq_ix,r2,mse
232,0.2177408840507269,2.29495906829834
419,0.21789080649614334,0.6949183940887451
426,0.21850303560495377,0.6512234807014465
492,0.21923388168215752,0.9252128601074219
282,0.2196583580225706,0.8330082297325134
377,0.21981220692396164,0.4144206941127777
324,0.2203555963933468,0.7174791097640991
87,0.2209532279521227,0.8085922598838806
121,0.22112105786800385,0.3795780837535858
272,0.22128034196794033,0.6689631938934326
78,0.2217442337423563,0.3903140425682068
433,0.22258269041776657,0.6017436981201172
250,0.22369381040334702,0.4081834554672241
210,0.2243947982788086,0.6114369034767151
454,0.2244755420833826,0.4776743948459625
221,0.2252312023192644,0.7168920636177063
346,0.2253808155655861,0.414148211479187
89,0.22583662159740925,0.2975119948387146
464,0.22643697261810303,0.9912256002426147
162,0.22690041176974773,0.4816657304763794
415,0.22805985994637012,1.7562216520309448
201,0.2283540591597557,0.9777612090110779
197,0.22928444668650627,2.3126988410949707
509,0.23091544024646282,0.7392532229423523
294,0.23221909068524837,0.4150603115558624
68,0.23225833661854267,0.6056401133537292
411,0.23230592720210552,0.7697088718414307
281,0.2332668248564005,0.3846222460269928
284,0.23417450487613678,0.6475580334663391
39,0.23537582159042358,0.6512609124183655
307,0.23584380745887756,0.5811401009559631
422,0.23613973148167133,0.5497152805328369
45,0.23644517548382282,0.5809569358825684
267,0.23706137388944626,0.19630734622478485
180,0.23784186504781246,0.44349098205566406
450,0.23838777467608452,0.7056946158409119
378,0.23879220336675644,0.8476777672767639
314,0.2397320531308651,0.4156505763530731
196,0.2408252526074648,0.6236024498939514
420,0.2423230353742838,0.5810161232948303
65,0.24234726652503014,0.5066577196121216
332,0.24255844205617905,0.6686029434204102
42,0.24320343881845474,0.6043241024017334
443,0.24411575682461262,0.7291104197502136
214,0.24454542994499207,2.0181188583374023
199,0.24518214724957943,2.178675651550293
3,0.24559110961854458,0.659263551235199
388,0.24592947959899902,2.3010494709014893
102,0.24666236154735088,0.638847827911377
131,0.24809445440769196,0.5741066336631775
460,0.2481035254895687,0.6568142771720886
119,0.2501873765140772,1.0617303848266602
74,0.2508039977401495,0.4861419200897217
362,0.2511597238481045,0.7181390523910522
153,0.25243470072746277,0.7366554737091064
97,0.2529536224901676,0.8755242824554443
462,0.2544972561299801,0.6143372058868408
285,0.2547393199056387,0.3119540810585022
305,0.25606947764754295,2.349958658218384
127,0.25630943290889263,0.9453966617584229
130,0.25855251774191856,0.46965569257736206
195,0.2585711348801851,0.6006795763969421
161,0.2588443588465452,0.4834233522415161
286,0.2599834278225899,0.48112383484840393
299,0.2601163610816002,0.8868474960327148
297,0.2608084697276354,0.5434403419494629
238,0.2611614912748337,0.407224178314209
263,0.2613786458969116,0.814163088798523
207,0.26444011367857456,0.5967314839363098
303,0.26462753862142563,0.4765533208847046
169,0.26530109345912933,0.3135088384151459
331,0.265367329120636,0.43000730872154236
361,0.26614445075392723,2.741509199142456
125,0.2664332687854767,0.7582188844680786
212,0.2668244354426861,0.4792611598968506
472,0.2677321918308735,0.6368357539176941
13,0.26951309107244015,0.6063255071640015
393,0.26979502476751804,0.5773462057113647
506,0.2703609745949507,0.47194594144821167
344,0.27143166959285736,0.4811994135379791
144,0.2716275155544281,0.3262042999267578
174,0.2757228873670101,0.5940026044845581
101,0.27573228627443314,0.8886833190917969
437,0.27627624943852425,0.424336701631546
145,0.2776148393750191,1.0814118385314941
445,0.27924373373389244,0.6637910604476929
480,0.2796998042613268,0.404203861951828
208,0.27971615456044674,0.4975311756134033
461,0.27997638285160065,0.4885502755641937
237,0.28212274983525276,0.2492063343524933
54,0.2836429104208946,2.6293890476226807
329,0.28489415906369686,0.39994195103645325
27,0.28611379116773605,0.5541690587997437
82,0.2865110673010349,0.5358671545982361
198,0.28799545764923096,0.8445850014686584
447,0.2888894882053137,0.37628093361854553
112,0.2904534488916397,0.3242526352405548
339,0.29289427399635315,0.6367887854576111
171,0.2934997081756592,0.4224345088005066
490,0.2942612860351801,0.3931141197681427
176,0.294553279876709,0.41848453879356384
268,0.2948261573910713,1.9774798154830933
293,0.2949804291129112,0.6129142642021179
32,0.29522230476140976,0.5679649114608765
389,0.296690134331584,0.38948872685432434
510,0.2990493830293417,0.42489728331565857
298,0.30201238580048084,0.38764873147010803
406,0.30374667420983315,0.5475546717643738
95,0.30443503335118294,2.1787490844726562
46,0.3053390961140394,0.5067194104194641
2,0.3084568101912737,0.7186634540557861
478,0.30954353511333466,0.8027499318122864
497,0.3112126309424639,0.49665555357933044
122,0.31133488193154335,0.5071923732757568
417,0.311849070712924,0.5279139876365662
126,0.31321463547647,0.5434901714324951
511,0.31354969926178455,0.5729687213897705
316,0.31752282567322254,0.2661805748939514
258,0.3187033925205469,0.26402148604393005
187,0.3189891092479229,0.6413124203681946
442,0.32020739652216434,0.503892183303833
146,0.3220380824059248,0.27988889813423157
16,0.3221587873995304,0.21692532300949097
408,0.3240994717925787,1.348284125328064
175,0.3252873420715332,0.23698142170906067
410,0.3256079703569412,0.35719966888427734
473,0.3267610762268305,0.42002731561660767
457,0.33353514038026333,0.3222831189632416
134,0.3352074846625328,0.7095643281936646
60,0.3354329913854599,0.742536187171936
402,0.33765358477830887,0.4460923671722412
185,0.34376112930476665,0.32883626222610474
273,0.3463279139250517,0.3321215510368347
323,0.34720712900161743,0.6753973960876465
80,0.3476614020764828,0.3464611768722534
217,0.3496477250009775,0.27818337082862854
397,0.3496910836547613,0.5715348124504089
26,0.3529029004275799,0.4935096800327301
211,0.3542209081351757,0.5223691463470459
392,0.3586000017821789,0.5100233554840088
489,0.36287858709692955,0.571948766708374
11,0.3638789337128401,0.4387059807777405
138,0.368798078969121,0.31301581859588623
106,0.3689860515296459,0.5743939876556396
336,0.36966586112976074,0.21680597960948944
244,0.370928555727005,0.5408364534378052
44,0.37790654972195625,0.7951766848564148
76,0.3864115998148918,0.6103419661521912
133,0.3879760932177305,0.5294779539108276
405,0.39201150089502335,0.3869704306125641
90,0.3923114351928234,0.42940521240234375
22,0.39439827762544155,0.22677738964557648
484,0.3955810535699129,0.4060085713863373
348,0.40491956658661366,0.48803508281707764
164,0.4161636531352997,0.5061584711074829
168,0.4235018137842417,0.5105223655700684
129,0.42637548223137856,0.5528945326805115
260,0.4383180383592844,0.5245945453643799
279,0.45481264032423496,0.40352490544319153
38,0.4554024301469326,0.41481685638427734
141,0.46474067121744156,0.31571298837661743
108,0.4681393429636955,0.11778154969215393
325,0.47702139988541603,0.3923419415950775
503,0.4783698935061693,0.39758697152137756
157,0.4783976078033447,0.24238649010658264
155,0.4804073330014944,0.488171249628067
441,0.4943651705980301,0.19738514721393585
190,0.5013037715107203,0.35454490780830383
7,0.5053394958376884,0.4026246666908264
69,0.5076764635741711,0.41115742921829224
337,0.5156972892582417,0.3297956585884094
93,0.5266020465642214,0.2650511860847473
28,0.5314033273607492,0.3698773682117462
440,0.5363961923867464,0.4085162580013275
364,0.5383029915392399,0.30686154961586
407,0.547628466039896,0.3509001135826111
320,0.5484841577708721,0.2220476269721985
100,0.5599871333688498,0.2716045677661896
15,0.5657124500721693,0.41200870275497437
274,0.5678060688078403,0.1661210060119629
356,0.5698909685015678,0.3799228072166443
239,0.5702171362936497,0.34540146589279175
172,0.5827208124101162,0.3793374001979828
